author,gender,pseudonym,title,title_en,subtitle,sep_edition,source,city,year_begin,genre,characters,narration,file_name,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
"Авсеенко, Василий Григорьевич",мужской,0,Из-за благ земных,For the Sake of Earthly Goods,Роман в 3 частях,1,Русский вестник,Москва,1872,психологический роман,дворяне,3 лицо,avseenko_v_izza_blag_zemnykh_1872.xml,психологический,психологический,PREP NOUN ADJF,3,0,социально-психологический,светский,нравоописательный,,
"Авсеенко, Василий Григорьевич",мужской,0,Из современного романа,From a Contemporary Novel,"Сцены, портреты и контуры",0,Русский мир,,1875,социально-психологический,,3 лицо,,социально-психологический,социально-психологический,PREP ADJF NOUN,3,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,Млечный путь,The Milky Way,Роман,1,Русский вестник,Москва,1875,социально-психологический,дворяне,3 лицо,avseenko_v_mlechnyj_put_1875.xml,социально-психологический,социально-психологический,ADJF NOUN,2,0,социально-психологический,адюльтерный,светский,антинигилистический,
"Авсеенко, Василий Григорьевич",мужской,0,Скрежет зубовный,The Gnashing of Teeth,Роман,1,Русский вестник,Москва,1878,социально-психологический,,3 лицо,,социально-психологический,социально-психологический,NOUN ADJF,2,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,Злой дух,The Evil Spirit,роман,0,Русский вестник,,1881,социально-психологический,"дворяне, революционеры",3 лицо,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Алеева, Н.",женский,1,Два мира,Two Worlds,Роман в 4 частях,0,Дело,,1874,,,,,,,NUMR NOUN,2,0,,,,,
"С-ая, Александра",женский,1,"Земной ангел, или Своенравие","An Earthly Angel, or Wilfulness",Род романа,0,Библиотека для чтения,,1836,любовный,Дворяне,3 лицо,,любовный,любовный,ADJF NOUN CONJ NOUN,4,0,,,,,
"Александров, Виктор",мужской,0,Без исхода,Without a Way Out,Роман в 2 частях,1,Отд. изд.,Санкт-Петербург,1896,детективный,,,,детективный,криминальный,PREP NOUN,2,0,,,,,
"Александров, Виктор",мужской,0,Медуза,Medusa,роман из уголовной хроники,1,Отд. изд.,Санкт-Петербург,1890,уголовный,дворяне,3 лицо,,уголовный,криминальный,NOUN,1,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Преступный путь,The Path of Crime,Роман в 3 частях,1,Отд. изд.,Санкт-Петербург,1897,детективный,,,,детективный,криминальный,ADJF NOUN,2,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Среди бед,Amid Misfortunes,Исторический роман (1395-1407 гг.): В 2 ч,1,Отд. изд.,Санкт-Петербург,1897,исторический роман,,,,исторический,исторический,PREP NOUN,2,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Татарский отпрыск,The Tatar Scion,Исторический роман в четырех частях,1,Отд. изд.,Санкт-Петербург,1896,исторический роман,аристократия прошлого,3 лицо,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Розы и тернии,Roses and Thorns,Исторический роман в двух частях,1,Отд. изд.,Санкт-Петербург,1898,исторический роман,"аристократия прошлого, крестьяне",3 лицо,alekseev_n_rozy_i_ternii_1898.xml,исторический,исторический,NOUN CONJ NOUN,3,0,исторический,любовный,социально-психологический,,
"Алексеев, Николай Николаевич",мужской,0,Лжецаревич,The False Tsarevich,Исторический роман в двух частях,1,Отд. изд.,Санкт-Петербург,1899,"исторический, авантюрный","аристократия прошлого, крестьяне",3 лицо,,исторический,исторический,NOUN,1,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Рабы и владыки,Slaves and Masters,Историческая повесть,0,Литературные Вечера Нового Мира,,1899,"исторический роман, социально-психологический (россия времен федора иоанновича)","крестьяне, разночинцы, аристократия прошлого",3 лицо,,исторический,исторический,NOUN CONJ NOUN,3,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,Заморский выходец,The Newcomer from Overseas,Исторический роман в трех частях,1,Отд. изд.,Санкт-Петербург,1900,исторический,"аристократия прошлого, эмигранты, разночинцы",3 лицо,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Алексеев, Николай Николаевич",мужской,0,В грозу народную,In the People's Storm,Роман XVII века Н.Н. Алексеева,1,Отд. изд.,Санкт-Петербург; Москва,1902,исторический роман,аристократия прошлого,3 лицо,,исторический,исторический,PREP NOUN ADJF,3,0,,,,,
"Алтаев, Ал.",женский,1,"Под знаменем ""Башмака""",Under the Banner of the 'Bundschuh',роман в 2 частях,1,Отд. изд.,Санкт-Петербург,1906,исторический роман,"Т. Мюнцер, крестьянская война в Германии",3 лицо,,исторический,исторический,PREP NOUN NOUN,3,0,,,,,
"Альбов, Михаил Николаевич",мужской,0,Тайна Мамаева,The Secret of Mamayev,Романтическая история,1,Отд. изд.,Москва,1900,,,,,,,NOUN ADJF,2,0,,,,,
"Альбов, Михаил Николаевич",мужской,0,Пшеницыны,The Pshenitsyns,Из истории забитых людей,0,Дело,,1873,соц.-психологический роман,чиновники,3 лицо,albov_m_pshenizyny_1873.xml,социально-психологический,социально-психологический,NOUN,1,0,социально-психологический,семейный,бытовой,,
"Альбов, Михаил Николаевич",мужской,0,Ряса,The Cassock,Роман из жизни отца Петра Елеонского,0,Дело,,1883,соц.-психологический роман,духовенство,3 лицо,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Альминский, П.",мужской,1,Алексей Слободин,Aleksei Slobodin,Семейная история,0,Вестник Европы,,1872,социально-психологический,дворяне,3 лицо,,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Альминский, П.",мужской,1,Мирные времена,Peaceful Times,Роман в 3 частях,0,Дело,,1882,автобиографический,,3 лицо,,автобиографический,биографический,ADJF NOUN,2,0,,,,,
"Альминский, П.",мужской,1,Петербургская саранча,The Petersburg Locusts,Роман,0,Новое время,,1883,авантюрный,"дворяне, криминальный мир (аферисты, мошенники, игроки), разночинцы",3 лицо,,авантюрный,приключенческий,ADJF NOUN,2,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Людмила Верховская,Lyudmila Verkhovskaya,роман,1,Отд. изд.,Москва,1890,авантюрный,дворяне,3 лицо,,авантюрный,приключенческий,NOUN ADJF,2,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Жар-цвет,The Fern-Flower,Фантастический роман,1,Север,Берлин,1895,фантастический роман,"дворянин, покойница",1 лицо,amfiteatrov_a_zhar-zvet_1895.xml,фантастический,фантастический,NOUN,1,0,оккультный,мистический,психологический,любовный,фантастический
"Амфитеатров, Александр Валентинович",мужской,0,Марья Лусьева,Marya Lusyeva,,0,Приазовский край (г),,1903,криминальный,Проститутки,3 лицо,amfiteatrov_a_mariya_luseva_1903.xml,криминальный,криминальный,NOUN NOUN,2,0,уголовный,социально-психологический,нравоописательный,,
"Амфитеатров, Александр Валентинович",мужской,0,Виктория Павловна (именины),Viktoriya Pavlovna (The Name-Day),,1,Отд. изд.,Санкт-Петербург,1904,феминистический роман,женщины,1 лицо,,феминистический,женский,NOUN NOUN NOUN,3,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Восьмидесятники,The Men of the Eighties,роман,0,Отд. изд.,,1908,из эпопеи «концы и начала»,"дворяне, разночинцы, военные",3 лицо,amfiteatrov_a_vosmidesyatniki_1908.xml,эпопея,исторический,NOUN,1,0,исторический,хроникальный,бытовой,,
"Амфитеатров, Александр Валентинович",мужской,0,Княжна,The Young Princess,роман,0,"Знание, сб",,1908,исторический,высшее дворянство,3 лицо,amfiteatrov_a_knyazhna_1908.xml,исторический,исторический,NOUN,1,0,исторический,социально-психологический,бытовой,,
"Амфитеатров, Александр Валентинович",мужской,0,Сумерки божков,The Twilight of the Little Gods,роман,1,Отд. изд.,Санкт-Петербург,1909,"драма, роман воспитания (карьеры), любовный (?)",творческие люди (опера),3 лицо,amfiteatrov_a_sumerki_bozhkov_1909.xml,воспитания,воспитания,NOUN NOUN,2,0,роман воспитания,социально-психологический,любовный,,
"Амфитеатров, Александр Валентинович",мужской,0,Закат старого века,The Decline of the Old Century,роман,1,Отд. изд.,Санкт-Петербург,1910,"хроника (из эпопеи «концы и начала»), исторический","дворяне, чиновники",3 лицо,amfiteatrov_a_zakat_starogo_veka_1910.xml,хроника,исторический,NOUN NOUN NOUN,3,0,хроникальный,исторический,бытовой,,
"Амфитеатров, Александр Валентинович",мужской,0,Марья Лусьева за границей,Marya Lusyeva Abroad,повесть,0,Одесские новости,,1910,"социально-психологический, уголовный","проститутки, высшие классы",3 лицо,amfiteatrov_a_marya_luseva_za_granizej_1910.xml,социально-психологический,социально-психологический,NOUN NOUN PREP NOUN,4,0,социально-психологический,уголовный,нравоописательный,,
"Амфитеатров, Александр Валентинович",мужской,0,Девятидесятники,The Men of the Nineties,роман,1,Отд. изд.,Санкт-Петербург,1910,"семейная хроника (из эпопеи «концы и начала. хроника 1880-1910»), любовный","дворяне, горожане, буржуазия",3 лицо,,семейный,семейный,NOUN,1,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Паутина,The Web,роман,1,Отд. изд.,Санкт-Петербург,1913,социально-психологический,разночинцы,3 лицо,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Разбитая армия,A Routed Army,,1,Отд. изд.,Москва,1913,исторический роман,эмигранты,3 лицо,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Дрогнувшая ночь,The Night That Trembled,роман (из эпопеи «Концы и начала»),1,Отд. изд. (СС),Санкт-Петербург,1914,"исторический, любовный",купцы,1 лицо,,исторический,исторический,PRTF NOUN,2,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Дочь Виктории Павловны,The Daughter of Viktoriya Pavlovna,"Роман в 3 повестях («Злые призраки», «Законный грех», «Товарищ Феня»)",1,Прометей,Санкт-Петербург,1914,,,1 лицо,,,,NOUN NOUN NOUN,3,0,,,,,
Амфитеатров Александр Валентинович,мужской,0,Сестры,Sisters,роман,1,Грани,Москва,1922,хроника в 4 романах,,1 лицо,,хроника,исторический,NOUN,1,0,,,,,
Амфитеатров Александр Валентинович,мужской,0,Лиляша,Lilyasha,роман одной женской жизни,1,Грамату драугас,Р.,1928,любовный,аристократия,,,любовный,любовный,NOUN,1,0,,,,,
Амфитеатров Александр Валентинович,мужской,0,Вчерашние предки,Yesterday's Forebears,роман,1,Новый сад,Б.-М.,1928,исторический,аристократия,3 лицо,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Андреев, А.",мужской,1,Иоанн Грозный и Стефан Баторий,Ivan the Terrible and Stefan Batory,исторический роман,1,Отд. изд.,Москва,1834,исторический,,3 лицо,,исторический,исторический,NOUN NOUN CONJ NOUN NOUN,5,0,,,,,
"Андреев, А.",мужской,1,"Довмонт, князь псковский","Dovmont, Prince of Pskov",Русский исторический роман XVIII века в 2 частях,1,Отд. изд.,Москва,1835,исторический роман,Легендарные исторические фигуры,3 лицо,,исторический,исторический,NOUN NOUN ADJF,3,0,,,,,
"Андреев, Леонид Николаевич",мужской,0,Сашка Жегулев,Sashka Zhegulyov,роман в 2-х частях,0,Шиповник,,1911,ироническая фантастика,,3 лицо,,иронический,юмористический,NOUN ADJS,2,0,,,,,
Андреев Леонид Николаевич,мужской,0,Дневник Сатаны,The Diary of Satan,роман,0,Отд. изд.,,1921,1) дневниковые заметки 2)воплощение сатаны в тело человека,,1 лицо,,,,NOUN NOUN,2,0,,,,,
"Анзимиров, Владимир Александрович",мужской,0,Алые розы Востока,Scarlet Roses of the East,роман,0,Газета-копейка,,1909,исторический,,,,исторический,исторический,ADJF NOUN NOUN,3,0,,,,,
"Анзимиров, Владимир Александрович",мужской,0,Муть,Turbidity,роман,0,Газета-копейка,,1910,автобиографический роман,,,,автобиографический,биографический,NOUN,1,0,,,,,
Аничков Евгений Васильевич,мужской,0,Язычница,The Pagan Woman,роман,1,Отд.Изд.,Париж,1932,,,,,,,NOUN,1,0,,,,,
"Аничкова, Идалия Мечиславовна",женский,0,Наташа Озерова,Natasha Ozerova,Роман из современных русских нравов,1,Отд. изд.,Санкт-Петербург,1888,,,,,,,NOUN NOUN,2,0,,,,,
"Аничкова, Идалия Мечиславовна",женский,0,Из жизни женщины,From a Woman's Life,роман,1,Отд. изд.,Санкт-Петербург; Москва,1905,,,,,,,PREP NOUN NOUN,3,0,,,,,
"Аничкова, Идалия Мечиславовна",женский,0,Рингильда,Ringhilda,Исторический роман тринадцатого столетия,1,Отд. изд.,Санкт-Петербург,1896,"исторический, любовный","духовенство/священники, дворяне",3 лицо,anichkova_i_ringilda_1896.xml,исторический,исторический,NOUN,1,0,исторический,любовный,авантюрный,,
"Анненская, Александра Никитична",женский,0,Чужой хлеб,Another's Bread,Роман для детей,0,Семья и школа,,1871,социальная повесть,крестьяне,3 лицо,annenskaya_a_chuzhoj_khleb_1871.xml,социальный,социальный,ADJF NOUN,2,0,социально-психологический,бытовой,роман воспитания,,
"Анненская, Александра Никитична",женский,0,Анна,Anna,роман для детей,0,Отд. изд.,,1881,роман воспитания,дворяне,3 лицо,annenskaya_a_anna_1881.xml,воспитания,воспитания,NOUN,1,0,роман воспитания,социально-психологический,,,
Анов Н. И.,мужской,0,Пропавший брат,The Missing Brother,?,1,Отд. изд.,М,1941,,,,,,,PRTF NOUN,2,0,,,,,
аноним,na,1,"Зарайск, или Начало владычества татар над Россиею","Zaraysk, or The Beginning of Tatar Rule over Russia",Историческая повесть XIII столетия,1,Отд. изд.,Москва,1837,исторический роман,,,,исторический,исторический,NOUN CONJ VERB NOUN NOUN PREP NOUN,7,0,,,,,
аноним,na,1,"Невеста смерти, или Любовь и гордость","The Bride of Death, or Love and Pride",роман из происшествий 1812 и 1813 годов,1,Отд. изд.,Москва,1837,исторический роман,,,,исторический,исторический,NOUN NOUN CONJ NOUN CONJ NOUN,6,0,,,,,
аноним,na,1,Вечевой колокол,The Veche Bell,Русский роман XV столетия,1,Отд. изд.,Москва,1839,исторический роман,,,,исторический,исторический,ADJF NOUN,2,0,,,,,
аноним,na,1,"Ермак, покоритель Сибири","Yermak, Conqueror of Siberia",Исторический роман,1,Отд. изд.,Москва,1839,"исторический роман, ермак",,,,исторический,исторический,NOUN NOUN NOUN,3,0,,,,,
аноним,na,1,Князь Михаил Васильевич Скопин-Шуйский или Москва и Новгород в смутное время в начале семнадцатого века,"Prince Mikhail Vasilyevich Skopin-Shuisky, or Moscow and Novgorod in the Time of Troubles at the Beginning of the Seventeenth Century",Исторический роман в 4 частях,1,Отд. изд.,Санкт-Петербург,1876,исторический,,,,исторический,исторический,NOUN NOUN NOUN NOUN CONJ NOUN CONJ NOUN PREP ADJF NOUN PREP NOUN ADJF NOUN,15,0,,,,,
аноним,na,1,"Малюта Скуратов, или Тринадцать лет царствования Царя Иоанна Васильевича Грозного","Malyuta Skuratov, or Thirteen Years of the Reign of Tsar Ivan Vasilyevich the Terrible",Историчский роман XVI столетия,1,Отд. изд.,Москва,1833,исторический,"аристократия прошлого, фольклорные герои",3 лицо,,исторический,исторический,NOUN NOUN CONJ NUMR NOUN NOUN NOUN NOUN NOUN NOUN,10,0,,,,,
аноним,na,1,"Барановский, или Характеристические очерки частной жизни Малороссиян","Baranovsky, or Characteristic Sketches of Private Life in Little Russia",Малороссийская быль XVIII столетия,1,Отд. изд.,Москва,1835,исторический роман,,3 лицо,,исторический,исторический,NOUN CONJ ADJF NOUN ADJF NOUN NOUN,7,0,,,,,
аноним,na,1,"Могила Марии, или Притон под Москвою","Maria's Grave, or The Den near Moscow",Русский роман с картинами нравов в конце XVI века,1,Отд. изд.,Москва,1835,"исторический, социально-психологический",,3 лицо,,исторический,исторический,NOUN NOUN CONJ NOUN PREP NOUN,6,0,,,,,
аноним,na,1,"Россиянка 1812 года, или Любовь молодого офицера на дороге в армию","A Russian Woman of 1812, or A Young Officer's Love on the Road to the Army",роман,1,Отд. изд.,Москва,1836,исторический,,3 лицо,,исторический,исторический,NOUN NUMR NOUN CONJ NOUN ADJF NOUN PREP NOUN PREP NOUN,11,0,,,,,
аноним,na,1,"Бородинское поле, или Смерть за честь","The Field of Borodino, or Death for Honour",Исторический роман,1,Отд. изд.,Москва,1839,"исторический роман, война 1812 года",дворяне,3 лицо,,исторический,исторический,ADJF NOUN CONJ NOUN PREP NOUN,6,0,,,,,
аноним,na,1,Несчастная,The Unfortunate Woman,Роман в начале царствования Императрицы Екатерины Алексеевны II XVIII века,1,Отд. изд.,Москва,1839,исторический роман,легендарная историческая фигура -Екатерна II,3 лицо,,исторический,исторический,ADJF,1,0,,,,,
"Антонов, М.",мужской,0,Дубровин,Dubrovin,Роман из крестьянской жизни,0,Вестник Европы,,1900,"социально-психологический, крестьяне",крестьяне,,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Анютин, М.",мужской,1,Наших полей ягоды,Berries of Our Fields,повесть,0,Русская мысль,,1888,соц.-психологический,"дворяне, духовенство/свещенники",3 лицо,remezov_m_nashikh_polej_yagody_1888.xml,социально-психологический,социально-психологический,ADJF COMP NOUN,3,0,социально-психологический,бытовой,крестьянский,,
Иермонах Аполлос,мужской,1,"Лишенный зрения Ураний, несчастный государь","Urania Deprived of Sight, an Unfortunate Sovereign",Священная повесть,1,Отд. изд.,Москва,1779,"философский, нравоучительный",аристократия прошлого,3 лицо,,философский,философский,PRTF NOUN NOUN ADJF NOUN,5,0,,,,,
"Аполлос, епископ Архангельский и Холмогорский",мужской,1,Неразрывный союз двух братьев,The Inseverable Union of Two Brothers,Повесть из любомудрия почерпнутая,1,Отд. изд.,Москва,1780,"философский, нравоучительный",,3 лицо,,философский,философский,ADJF NOUN NUMR NOUN,4,0,,,,,
"Аполлос, епископ Архангельский и Холмогорский",мужской,1,Кто есть истинный друг,Who Is a True Friend,иносказательное с нравоучением повествование,1,Отд. изд.,Москва,1783,"философский, нравоучительный, аллегорический",,3 лицо,bajbakov_a_kto_est_istinnyj_drug_1783.xml,философский,философский,NPRO INTJ ADJF NOUN,4,0,философский,нравоучительный,религиозный,,
"Апраксин, Александр Дмитриевич",мужской,0,Родня,Kinsfolk,роман,0,Русский вестник,,1905,"автобиографический роман, детство и юность апраксина",,,,автобиографический,биографический,NOUN,1,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Хищники,The Predators,роман из столичной уголовной жизни,1,Отд. изд.,Санкт-Петербург,1908,уголовный роман,,,,уголовный,криминальный,NOUN,1,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Алзаковы,The Alzakovs,роман из великосветского быта,1,Отд. изд.,Санкт-Петербург,1888,социально-психологический,аристократия прошлого,3 лицо,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Праздные люди,Idle People,роман,1,Отд. изд.,Санкт-Петербург,1889,семейная хроника,дворяне,3 лицо,,семейный,семейный,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Каин и Авель,Cain and Abel,роман,1,Отд. изд.,Санкт-Петербург,1889,светский,аристократия,3 лицо,,светский,светский,NOUN CONJ NOUN,3,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,На волоске,By a Thread,роман,1,Отд. изд.,Санкт-Петербург,1891,светский,аристократия,3 лицо,,светский,светский,PREP NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Больное место,A Sore Spot,Роман А.Д. Апраксина,1,Отд. изд.,Москва,1895,обнищание крестьянства,"Петербург, дворяне, крестьяне",3 лицо,,социальный,социальный,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Светлые дни,Bright Days,Роман А.Д. Апраксина,1,Отд. изд.,Москва,1897,"криминальный, социальный",дворяне,3 лицо,,криминальный,криминальный,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Тяжкие миллионы,Burdensome Millions,,1,Отд. изд.,Москва,1897,уголовный,криминальный мир,3 лицо,,уголовный,криминальный,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,"325,000 рублей","325,000 Roubles",роман,1,Отд. изд.,Москва,1898,уголовный роман,банковский служащий,3 лицо,,уголовный,криминальный,NUMR NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Графиня Негрянская,Countess Negryanskaya,роман,1,Отд. изд.,Санкт-Петербург,1902,исторический,аристократия прошлого,3 лицо,,исторический,исторический,NOUN ADJF,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Захудалые,The Gone-to-Seed,роман,1,Отд. изд. (СС),Санкт-Петербург,1902,социально-психологический,дворяне,3 лицо,,социально-психологический,социально-психологический,ADJF,1,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Князь Червонский,Prince Chervonsky,роман,1,Отд. изд.,Санкт-Петербург,1902,социально-психологический,дворяне,3 лицо,,социально-психологический,социально-психологический,NOUN ADJF,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Тернистый путь,A Thorny Path,Роман в 2-х частях,1,Отд. изд.,Санкт-Петербург,1903,психологический,дворяне,3 лицо,,психологический,психологический,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Три плута,Three Rogues,роман из столичной уголовной хроники,1,Отд. изд.,Санкт-Петербург,1904,уголовный роман,мелкие чиновники,3 лицо,apraksin_a_tri_pluta_1904.xml,уголовный,криминальный,NUMR NOUN,2,0,уголовный,авантюрный,социально-психологический,,
Ардов,женский,1,Без вины виноватые,Guilty without Guilt,Роман в 2 частях,0,Вестник Европы,,1877,социально-психологический,дворяне,3 лицо,apreleva_e_bez_viny_vinovatye_1877.xml,социально-психологический,социально-психологический,PREP NOUN ADJF,3,0,социально-психологический,семейный,,,
Ардов,женский,1,Руфина Каздоева,Rufina Kazdoeva,Роман в 5 частях,0,Дело,,1884,любовный,дворяне,3 лицо,,любовный,любовный,NOUN NOUN,2,0,,,,,
"Арнольди, Нина (Анна) Александровна",женский,0,Василиса,Vasilisa,роман,1,Отд. изд.,Санкт-Петербург,1909,"любовный роман, трагедия","высшее дворянство, женщины",3 лицо,,любовный,любовный,NOUN,1,0,,,,,
"Арсеньев, Александр Васильевич",мужской,0,Князь Дмитрий Иоаннович Донской,Prince Dmitry Ioanovich Donskoy,Из эпохи грозного века. Исторический роман,0,Родина,,1892,исторический роман; россия времен дмитрия донского,,,,исторический,исторический,NOUN NOUN NOUN ADJF,4,0,,,,,
"Арсеньев, Александр Васильевич",мужской,0,Жестокое испытание,A Cruel Trial,роман,0,Родина,,1894,исторический роман,,,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Архипов, Николай Архипович",мужской,1,Тёмные воды,Dark Waters,Роман,0,Новая жизнь,,1914,социально-психологический роман,,,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Арцыбашев, Михаил Петрович",мужской,0,Санин,Sanin,роман,0,Современный мир,,1907,социально- психологический роман,архитектор,3 лицо,arzybashev_m_sanin_1907.xml,социально-психологический,социально-психологический,NOUN,1,0,социально-психологический,философский,идеологический,,
"Арцыбашев, Михаил Петрович",мужской,0,У последней черты,At the Last Limit,роман,1,Земля,Мюнхен; Лейпциг,1910,"социально-психологический роман, бытовой","горожане, студенты, солдаты",3 лицо,arzybashev_m_u_poslednej_cherty_1910.xml,социально-психологический,социально-психологический,PREP ADJF NOUN,3,0,социально-психологический,бытовой,философский,,
"Аскоченский, Виктор Ипатьевич",мужской,0,Асмодей нашего времени,The Asmodeus of Our Time,роман,1,Отд. изд.,Санкт-Петербург,1858,социально-психологический,дворяне,3 лицо,askochenskij_v_asmodej_nashego_vremeni_1858.xml,социально-психологический,социально-психологический,NOUN ADJF NOUN,3,0,социально-психологический,идеологический,религиозный,,
