author,gender,pseudonym,title,title_en,subtitle,year_begin,source,sep_edition,city,genre,characters,narration,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
"Веревкин, Михаил Иванович",мужской,0,Небылица,A Tall Tale,,1778,Отд. изд.,1,Санкт-Петербург,любовный,крестьяне,3 лицо,любовный,любовный,NOUN,1,0,,,,,
Иермонах Аполлос,мужской,1,"Лишенный зрения Ураний, несчастный государь","Urania Deprived of Sight, an Unfortunate Sovereign",Священная повесть,1779,Отд. изд.,1,Москва,"философский, нравоучительный",аристократия прошлого,3 лицо,философский,философский,PRTF NOUN NOUN ADJF NOUN,5,0,,,,,
"Аполлос, епископ Архангельский и Холмогорский",мужской,1,Неразрывный союз двух братьев,The Inseverable Union of Two Brothers,Повесть из любомудрия почерпнутая,1780,Отд. изд.,1,Москва,"философский, нравоучительный",,3 лицо,философский,философский,ADJF NOUN NUMR NOUN,4,0,,,,,
"Богданович, Петр Иванович",мужской,0,"Дикий человек, смеющийся учености и нравам нынешнего света",The Wild Man Who Laughs at the Learning and Morals of Today's World,,1781,Отд. изд.,1,Санкт-Петербург,критика,,3 лицо,,,ADJF NOUN PRTF NOUN CONJ NOUN ADJF NOUN,8,0,сатирический,философский,нравоучительный,просветительский,
"Комаров, Матвей",мужской,0,Повесть о приключении английского милорда Георга и бранденбургской маркграфини Фредерики Луизы,The Tale of the Adventures of the English Milord George and Margravine Frederica Louisa of Brandenburg,изданная М.К.,1782,Отд. изд.,1,Санкт-Петербург,"авантюрный, любовный",,1 лицо,авантюрный,приключенческий,NOUN PREP NOUN ADJF NOUN NOUN CONJ ADJF NOUN NOUN NOUN,11,0,авантюрный,любовный,приключенческий,,
"Лазаревич, Василий Васильевич",мужской,0,Добродетельная Розана,Virtuous Rosana,сочиненная В.Л.,1782,Отд. изд.,1,Санкт-Петербург,,,3 лицо,,,ADJF NOUN,2,0,,,,,
"Аполлос, епископ Архангельский и Холмогорский",мужской,1,Кто есть истинный друг,Who Is a True Friend,иносказательное с нравоучением повествование,1783,Отд. изд.,1,Москва,"философский, нравоучительный, аллегорический",,3 лицо,философский,философский,NPRO INTJ ADJF NOUN,4,0,философский,нравоучительный,религиозный,,
"Левшин, Василий Алексеевич",мужской,0,Повесть о новомодном дворянине,The Tale of a Fashionable Nobleman,,1783,Отд. изд.,1,Москва,сатирический,дворяне,3 лицо,сатирический,юмористический,NOUN PREP ADJF NOUN,4,0,,,,,
"Левшин, Василий Алексеевич",мужской,0,Досадное пробуждение,An Annoying Awakening,,1783,Отд. изд.,1,Москва,"сатирический, бытовой",чиновники,3 лицо,сатирический,юмористический,ADJF NOUN,2,0,,,,,
"Неелова, Наталья Алексеевна",женский,0,"Лейнард и Термилия, или Злосчастная судьба даух любовников","Leinard and Termilia, or The Wretched Fate of Two Lovers",Сочинение девицы Н. Н.; Иждивением Н. Новикова и Компании,1784,Отд. изд.,1,Москва,сентиментальная повесть,"? (молодой и богатый человек, дочь богатой вдовы)",3 лицо,сентиментальный,любовный,NOUN CONJ NOUN CONJ ADJF NOUN NOUN NOUN,8,0,сентиментальный,любовный,нравоучительный,,
"Щербатов, Михаил Михайлович",мужской,0,"Путешествие в землю Офирскую господина С..., шведского дворянина","A Journey to the Land of Ophir by Mr S..., a Swedish Nobleman",,1784,Отд. изд. (СС),1,Санкт-Петербург,социально-психологический,дворяне,1 лицо,социально-психологический,социально-психологический,NOUN PREP NOUN ADJF NOUN PREP ADJF NOUN,8,0,,,,,
"Левшин, Василий Алексеевич",мужской,0,Новейшее путешествие,A Most Recent Journey,фрагменты,1784,Собеседник [журнал],1,Санкт-Петербург,утопический,,3 лицо,утопический,утопический,ADJF NOUN,2,0,утопический,философский,сатирический,просветительский,
"Новиков, Иван Алексеевич",мужской,0,"Похождение Ивана гостиного сына, и другие повести и сказки","The Adventures of Ivan the Merchant's Son, and Other Tales",,1785,Отд. изд.,1,Санкт-Петербург,авантюрно-плутовской,? (московское купечество и социальные низы),,авантюрный,приключенческий,NOUN NOUN ADJF NOUN CONJ ADJF NOUN CONJ NOUN,9,0,,,,,
"Эмин, Николай Федорович",мужской,0,Роза,The Rose,полусправедливая повесть,1786,Отд. изд.,1,Санкт-Петербург,социально-психологический,аристократия прошлого,в письмах,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Протопопов, Василий Михайлович",мужской,0,"Лабиринт волшебства, или Удивительные приключения востояных принцев","The Labyrinth of Sorcery, or The Amazing Adventures of Oriental Princes",Сочинение В. П.,1786,Отд. изд.,1,Москва,"авантюрный, мотивы волшебно-рыцарского романа, фр. волшебных сказок","Волшебник, фея",3 лицо,авантюрный,приключенческий,NOUN NOUN CONJ ADJF NOUN ADJF NOUN,7,0,,,,,
"Лазинский, Федор",мужской,0,"Повесть дворянина T.L. Орлеанской провинции, писанная им самим о жизни деда, отца и своей.","The Tale of T.L., a Nobleman of the Province of Orleans, Written by Himself about the Life of His Grandfather, His Father, and His Own",переведенная с немецкого языка Ф. Лазинским,1786,Отд. изд.,1,Москва,,дворяне,1 лицо,,,NOUN NOUN ADJF NOUN PRTF NOUN ADJF PREP NOUN NOUN NOUN CONJ ADJF,14,0,,,,,
"Филиппов, Андрей",мужской,0,История о храбром рыцаре Францыле Венциане и о прекрасной королевне Ренцывене,The Tale of the Brave Knight Frantsyl Ventsian and the Beautiful Princess Rentsyvena,,1787,Отд. изд.,1,Москва,,"рыцари, королевы",,,,NOUN PREP ADJF NOUN NOUN NOUN CONJ PREP ADJF NOUN NOUN,11,0,,,,,
"Протопопов, Василий Михайлович",мужской,0,"Любовь Периандра и Финомены, исполненная чувствительных для нежных сердец приключений","The Love of Periander and Phenomena, Full of Sentimental Adventures for Tender Hearts",сочинил В.П.,1787,Отд. изд.,1,Москва,псевдоисторический галантно-героический роман,аристократия прошлого,3 лицо,исторический,исторический,NOUN NOUN CONJ NOUN PRTF ADJF PREP ADJF NOUN NOUN,10,0,,,,,
"Эмин, Николай Федорович",мужской,0,Игра судьбы,A Game of Fate,,1789,Отд. изд.,1,Санкт-Петербург,"любовный, авантюрный","дворяне,помещики",в письмах,любовный,любовный,NOUN NOUN,2,0,,,,,
"Херасков, Михаил Матвеевич",мужской,0,Кадм и Гармония,Cadmus and Harmonia,Древнее повествование,1789,Отд. изд.,1,Москва,социально-психологический; нравоучительный,аристократия прошлого,3 лицо,социально-психологический,социально-психологический,NOUN CONJ NOUN,3,0,,,,,
"Богданович, Петр Иванович",мужской,0,"Кривонос-домосед, страдалец модный","Krivonos the Homebody, a Fashionable Sufferer",,1789,Отд. изд.,1,Санкт-Петербург,сатира,,1 лицо,сатирический,юмористический,NOUN NOUN ADJF,3,0,сатирический,нравоописательный,бытовой,просветительский,
"Зиновьев, Дмитрий Николаевич",мужской,0,"Торжествующая добродетель, или Жизнь и приключения гонимого фортуною Селима","Triumphant Virtue, or The Life and Adventures of Selim, Pursued by Fortune","Истинная повесть, в восточных странах происходившая и по свидетельству самовидца на российском языке сочинённая Д. Зиновьевым",1789,Отд. изд.,1,Москва,авантюрный,"Принцы, принцессы, короли, королевы и другие представители придворной знати",3 лицо,авантюрный,приключенческий,PRTF NOUN CONJ NOUN CONJ NOUN ADJF NOUN PRTS,9,0,авантюрный,нравоучительный,сентиментальный,,
"Львов, Павел Юрьевич",мужской,0,"Российская Памела, или История Марии, добродетельной поселянки","The Russian Pamela, or The Story of Maria, a Virtuous Peasant Girl",Сочинение Павла Львова,1789,Отд. изд.,1,Санкт-Петербург,любовный,"дворяне, крестьяне",3 лицо,любовный,любовный,ADJF NOUN CONJ NOUN NOUN ADJF NOUN,7,0,,,,,
"Хомяков, Петр Захарович",мужской,0,Похождение некотораго россиянина,The Adventures of a Certain Russian,"Истинная повесть им самим писанная; Содержащая в себе историю его службы и походов, с приключениями и слышанными им повестями",1790,Отд. изд.,1,Москва,авантюрный,военные,1 лицо,авантюрный,приключенческий,NOUN ADJF NOUN,3,0,,,,,
"Львов, Павел Юрьевич",мужской,0,"Храм истины, или Видение Сезостриса, царя египетского","The Temple of Truth, or The Vision of Sesostris, King of Egypt",Сочинение Павла Львова,1790,Отд. изд.,1,Санкт-Петербург,фантастический,легендарные исторические фигуры,1 лицо,фантастический,фантастический,NOUN NOUN CONJ NOUN NOUN NOUN ADJF,7,0,,,,,
"Дмитриев, Александр Иванович",мужской,0,Слава русских и горе шведов,The Glory of the Russians and the Woe of the Swedes,,1790,Отд. изд.,1,Санкт-Петербург,исторический,"военные, дворяне",1 лицо,исторический,исторический,NOUN ADJF CONJ ADVB NOUN,5,0,,,,,
"Радищев, Александр Николаевич",мужской,0,Путешествие из Петербурга в Москву,A Journey from St Petersburg to Moscow,,1790,Отд. изд.,1,Санкт-Петербург,путешествие,Крестьяне,1 лицо,,,NOUN PREP NOUN PREP NOUN,5,1,политический,сентиментальный,просветительский,философский,
"Городчанинов, Григорий Николаевич",мужской,0,Добродетельный богач,The Virtuous Rich Man,na,1791,Отд. изд.,1,Москва,нравоучительный,,н/д,нравоучительный,воспитания,ADJF NOUN,2,0,,,,,
"Писарев, Александр Иевлевич",мужской,0,"Переписка двух адских вельмож, Алгабека и Алгамека, находящихся по различным должностям в старом и новом свете","The Correspondence of Two Infernal Grandees, Algabek and Algamek, Holding Various Posts in the Old and New World",Переведена с арапоевропейского языка грекояпонским переводчиком в 1791 000 году,1792,Отд. изд.,1,Москва,"эпистолярный, сатирический","Ч. 1-2: петиметры, кокетки, учителя-иностранцы. Ч. 3: дворянство, масоны, якобинцы",1 лицо,эпистолярный,эпистолярный,NOUN NUMR ADJF NOUN NOUN CONJ NOUN PRTF PREP ADJF NOUN PREP ADJF CONJ ADJF NOUN,16,0,,,,,
"Захарьин, Петр Михайлович",мужской,0,Арфаксад,Arphaxad,"Халдейская повесть, содержащая в себе: образ жизни и нравов древних восточных народов, новыя возстановления чиноначалия, низпровержения вредной независимости, соединения обществ, царств, воздвижение городов, первоначальныя причины военных действий и проч. с помещением в различных местах нравственных разсуждений к различным предметам относящихся.",1793,Отд. изд.,1,Москва,"нравоучительный, социально-психологический, философский, авантюрный",Народности и этнические группы,3 лицо,нравоучительный,воспитания,NOUN,1,0,,,,,
"Черневский, Р.",мужской,0,Повесть о непреоборимой любви Адаманта к Дафнисе,The Tale of the Unconquerable Love of Adamant for Daphnis,,1793,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN PREP ADJF NOUN NOUN PREP NOUN,7,0,,,,,
"Иноградский, Василий Александрович",мужской,0,"Низверженный Зелул, образец злобы, или Жизнь и редкие приключения восточного принца Клеоранда и принцессы Зефизы","The Overthrown Zelul, a Model of Malice, or The Life and Rare Adventures of the Oriental Prince Cleorand and Princess Zephisa",Сочинение У... Вас... Иног...,1794,Отд. изд.,1,Москва,"аллегорический, нравоучительный, авантюрный, социально-психологический, философский, фантастический","Принцы, принцессы, короли, королевы и другие представители придворной знати Египта",3 лицо,нравоучительный,воспитания,ADJF VERB NOUN NOUN CONJ NOUN CONJ ADJF NOUN ADJF NOUN NOUN CONJ NOUN NOUN,15,0,,,,,
"Херасков, Михаил Матвеевич",мужской,0,"Полидор, сын Кадма и Гармонии","Polydorus, Son of Cadmus and Harmonia",,1794,Отд. изд.,1,Москва,"социально-психологический, нравоучительный",аристократия прошлого,3 лицо,социально-психологический,социально-психологический,NOUN NOUN NOUN CONJ NOUN,5,0,,,,,
"Богородский, Василий",мужской,0,"Странные приключения Димитрия Магушкина, российского дворянина, описанные им на испанском языке, с которого переведены на немецкий, а с сего на российский язык","The Strange Adventures of Dmitry Magushkin, a Russian Nobleman, Described by Him in Spanish, Translated from That into German, and from German into Russian",,1796,Отд. изд.,1,Москва,"приключение, похождения","Сын русского вельможи, крестьяне, татары",1 лицо,приключенческий,приключенческий,ADJF NOUN NOUN NOUN ADJF NOUN PRTF NOUN PREP ADJF NOUN PREP ADJF PRTS PREP ADJF CONJ PREP ADJF PREP ADJF NOUN,22,0,,,,,
"Горчаков, Дмитрий Петрович",мужской,0,Пламир и Раида,Plamir and Raida,Российская повесть,1796,Отд. изд.,1,Москва,любовный,"дворяне, помещики",3 лицо,любовный,любовный,NOUN CONJ NOUN,3,0,,,,,
"Захарьин, Петр Михайлович",мужской,0,"Приключения Клеандра, храброго царевича Лакедемонского, и Ниотильды, королевны Фракийской","The Adventures of Cleander, the Brave Tsarevich of Lacedaemon, and Niotilda, Princess of Thrace",российское сочинение,1798,Отд. изд.,1,Николаев,,,3 лицо,,,NOUN NOUN ADJF NOUN ADJF CONJ NOUN NOUN ADJF,9,0,,,,,
"Березайский, Василий Семенович",мужской,0,Анекдоты древних пошехонцев,Anecdotes of the Ancient Poshekhonians,,1798,Отд. изд.,1,Санкт-Петербург,авантюрно-сатирический,,1 лицо,авантюрный,приключенческий,NOUN ADJF NOUN,3,0,сатирический,авантюрный,бытовой,фольклорный,
"Запольский, Иван Ипатович",мужской,0,Желанная встреча,The Longed-For Meeting,,1799,"Иппокрена, или Утехи любословия",1,Москва,"философский, аллегорический, нравоучительный",,3 лицо,философский,философский,ADJF NOUN,2,0,,,,,
"Галинковский, Яков Андреевич",мужской,0,Часы задумчивости,Hours of Pensiveness,,1799,Отд. изд.,1,Москва,,,1 лицо,,,NOUN NOUN,2,0,сентиментальный,философский,нравоучительный,,
"Измайлов, Александр Ефимович",мужской,0,"Евгений, или Пагубные следствия дурного воспитания и сообщества","Evgeny, or The Pernicious Consequences of Bad Upbringing and Bad Company",Повесть написанная А. Измайловым,1799,Отд. изд.,1,Санкт-Петербург,роман воспитания,,3 лицо,воспитания,воспитания,NOUN CONJ ADJF NOUN ADJF NOUN CONJ NOUN,8,0,,,,,
"Гнедич, Николай Иванович",мужской,0,"Мориц, или Жертва мщения","Moritz, or A Victim of Vengeance",,1802,Отд. изд.,1,Москва,любовный,дворяне,3 лицо,любовный,любовный,NOUN CONJ NOUN NOUN,4,0,любовный,сентиментальный,психологический,готический,
"Башурлов, Максим Петрович",мужской,0,"Дикая европеанка, или Исправленное преступление одного добродетелью другого","The Wild European Woman, or A Crime Redeemed by the Virtue of Another",Писана. в Г.....,1804,Отд. изд.,1,Санкт-Петербург,авантюрный,дворяне,1 лицо,авантюрный,приключенческий,ADJF NOUN CONJ PRTF NOUN ADJF NOUN ADJF,8,0,авантюрный,нравоучительный,сентиментальный,любовный,
"Муравьев, Николай Назарьевич",мужской,0,Всеволод и Велеслава,Vsevolod and Veleslava,"Произшествие, сохранившееся в письмах",1807,Отд. изд.,1,Санкт-Петербург,социально-психологический,,в письмах,социально-психологический,социально-психологический,NOUN CONJ NOUN,3,0,,,,,
"Галинковский, Яков Андреевич",мужской,0,Глафира или Прекрасная Валдайка,"Glafira, or The Beautiful Girl from Valdai",народный русский роман,1807,Утренник прекрасного пола; Русский вестник,1,Санкт-Петербург,,,в письмах,,,NOUN CONJ ADJF NOUN,4,0,,,,,
"Извекова, Мария Евграфовна",женский,0,Торжествующая добродетель над коварством и злобою,Virtue Triumphant over Treachery and Malice,Сочинение девицы Марьи Извековой,1809,Отд. изд.,1,Санкт-Петербург,"социально-психологический, любовный",дворяне (Англия),3 лицо,социально-психологический,социально-психологический,PRTF NOUN PREP NOUN CONJ NOUN,6,0,,,,,
"Извекова, Мария Евграфовна",женский,0,"Милена, или Редкий пример великодушия","Milena, or A Rare Example of Magnanimity",сочинение девицы Марии Извековой,1809,Отд. изд.,1,Санкт-Петербург,соционально-психологический,дворяне провинциальные,3 лицо,социально-психологический,социально-психологический,NOUN CONJ ADJF NOUN NOUN,5,0,,,,,
"Бранкевич, Михаил Степанович (Стефанович)",мужской,0,"Храбрый философ Лев Андреевич Громин, сослуживец Силы Андреевича Богатырева","The Brave Philosopher Lev Andreevich Gromin, Colleague of Sila Andreevich Bogatyryov",Отрывок,1809,Отд. изд.,1,Москва,нравоучительный,Крестьянин-солдат,1 лицо,нравоучительный,воспитания,ADJF NOUN ADJS NOUN NOUN NOUN NOUN NOUN NOUN,9,0,,,,,
"Извекова, Мария Евграфовна",женский,0,"Эмилия, или Печальные следствия безрассудной любви","Emilia, or The Sad Consequences of Reckless Love",Сочинение девицы Марьи Извековой,1809,Отд. изд.,1,Санкт-Петербург,любовный,дворяне (французские),3 лицо,любовный,любовный,NOUN CONJ ADJF NOUN ADJF NOUN,6,0,,,,,
"Львов, Федор Петрович",мужской,0,Письма Скимнина,Skimnin's Letters,,1813,Отд. изд.,1,Санкт-Петербург,сентиментальный,дворяне,в письмах,сентиментальный,любовный,NOUN NOUN,2,0,сентиментальный,эпистолярный,нравоучительный,философский,
"Нарежный, Василий Трофимович",мужской,0,"Российский Жилблаз, или Похождения графа Гаврилы Семеновича Чистякова","The Russian Gil Blas, or The Adventures of Count Gavrila Semyonovich Chistyakov",сочинение В. Нарежного,1814,Отд. изд.,0,,авантюрный,"дворяне, крестьяне",3 лицо,авантюрный,приключенческий,ADJF NOUN CONJ NOUN NOUN NOUN NOUN NOUN,8,0,плутовской,авантюрный,сатирический,бытовой,
"Георгиевский, Иван Сергеевич",мужской,0,"Евгения, или письма к другу","Eugenia, or Letters to a Friend",собранныя Иваном Георгиевским,1818,Отд. изд.,1,Санкт-Петербург,любовный,дворяне,в письмах,любовный,любовный,NOUN CONJ NOUN PREP NOUN,5,0,любовный,сентиментальный,эпистолярный,,
"Свиньин, Павел Петрович",мужской,0,"Торжество воспитания, или Исправленный супруг","The Triumph of Upbringing, or The Reformed Husband",быль [следующие части названы нравственный роман],1821,Отечественные записки,0,,,дворяне,в письмах,,,NOUN NOUN CONJ PRTF NOUN,5,0,,,,,
"Нарежный, Василий Трофимович",мужской,0,"Аристион, или Перевоспитание","Aristion, or Re-Education",Справедливая повесть,1822,Отд. изд.,1,Санкт-Петербург,роман воспитания,дворяне,3 лицо,воспитания,воспитания,NOUN CONJ NOUN,3,0,,,,,
"Нарежный, Василий Трофимович",мужской,0,Бурсак,The Seminary Student,Малоросская повесть,1824,Отд. изд.,1,Москва,авантюрный,"духовенство, дворяне",1 лицо,авантюрный,приключенческий,NOUN,1,1,плутовской,исторический,сатирический,бытовой,нравоописательный
"Санглен, Яков Иванович, де",мужской,0,Жизнь и мнения нового Тристрама,The Life and Opinions of a New Tristram,Misce stultitiam consiliis brevem,1825,Отд. изд.,1,Москва,,дворяне,1 лицо,,,NOUN CONJ NOUN NOUN NOUN,5,0,,,,,
"Литвинов, Василий Иванович",мужской,0,"Любовь и вера, или Победа над страстями","Love and Faith, or Victory over the Passions",сочинил Литвинов,1825,Отд. изд.,1,Москва,любовно-авантюрный,египитеские пастухи (?),3 лицо,любовный,любовный,NOUN CONJ NOUN CONJ NOUN PREP NOUN,7,0,,,,,
"Сомов, Орест Михайлович",мужской,0,Гайдамак,The Haidamak,Малороссийская быль,1827,Невский альманах,0,,,,3 лицо,,,NOUN,1,0,исторический,авантюрный,этнографический,,
"Зряхов, Николай Ильич",мужской,0,"Амалия, или Хижина среди гор","Amalia, or The Hut among the Mountains",роман в 4-х частях,1828,Отд. изд.,1,Москва,,,,,,NOUN CONJ NOUN PREP NOUN,5,0,,,,,
"Нарежный, Василий Трофимович",мужской,0,"Черный год, или Горские князья","The Black Year, or The Mountain Princes",Сочинение Василия Нарежного,1829,Отд. изд.,1,Москва,"плутовской роман, авантюрный, сатира, осетины, кавказцы",,,плутовской,приключенческий,NOUN NOUN CONJ ADJF NOUN,5,0,,,,,
"Булгарин, Фаддей Венедиктович",мужской,0,Иван Выжигин,Ivan Vyzhigin,нравственно-сатирический роман,1829,Отд. изд.,1,Санкт-Петербург,авантюрный,дворяне,1 лицо,авантюрный,приключенческий,NOUN NOUN,2,0,плутовской,нравоописательный,авантюрный,сатирический,
"Загоскин, Михаил Васильевич",мужской,0,"Юрий Милославский, или Русские в 1612 году","Yuri Miloslavsky, or Russians in 1612",Исторический роман в 3 частях,1829,Отд. изд.,1,Москва,исторический,легендарные исторические фигуры; аристократия прошлого; военные,3 лицо,исторический,исторический,NOUN ADJF CONJ ADJF PREP NUMR NOUN,7,0,исторический,авантюрный,любовный,,
"Погорельский, Антоний",мужской,1,Магнетизер,The Magnetiser,роман,1830,Литературная газета,0,,,купцы,3 лицо,,,NOUN,1,0,фантастический,психологический,философский,,
"Погорельский, Антоний",мужской,1,Монастырка,The Convent Girl,сочинение А. Перовского,1830,Отд. изд.,0,,семейная хроника,"дворяне, институтка",1 лицо,семейный,семейный,NOUN,1,1,семейный,бытовой,нравоописательный,сентиментальный,готический
"Свиньин, Павел Петрович, Бошняк, А.К.",мужской,0,"Ягуб Скупалов, или Исправленный муж","Yagub Skupalov, or The Reformed Husband",нравственно-сатирический роман современных нравов,1830,Отд. изд.,1,Москва,социально-психологический,дворяне,в письмах,социально-психологический,социально-психологический,NOUN NOUN CONJ PRTF NOUN,5,0,,,,,
"Булгарин, Фаддей Венедиктович",мужской,0,Димитрий Самозванец,Dimitry the Pretender,исторический роман,1830,Отд. изд.,1,Санкт-Петербург,исторический,легендарные исторические фигуры; аристократия прошлого; военные,3 лицо,исторический,исторический,NOUN NOUN,2,0,исторический,авантюрный,политический,,
"Ушаков, Василий Аполлонович",мужской,0,Киргиз-Кайсак,The Kirghiz-Kaisak,повесть,1830,Отд. изд.,1,Москва,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Лажечников, Иван Иванович",мужской,0,"Последний Новик, или Завоевание Лифляндии в царствование Петра Великого","The Last Novik, or The Conquest of Livonia in the Reign of Peter the Great",Исторический роман,1831,Отд. изд.,1,Москва,исторический роман,легендарные исторические фигуры,3 лицо,исторический,исторический,ADJF NOUN CONJ NOUN NOUN PREP NOUN NOUN NOUN,9,0,исторический,авантюрный,,,
"Булгарин, Фаддей Венедиктович",мужской,0,Петр Иванович Выжигин,Pyotr Ivanovich Vyzhigin,Нравоописательный-исторический роман XIX века,1831,Отд. изд.,1,Санкт-Петербург,"социально-психологический, исторический",дворяне,3 лицо,социально-психологический,социально-психологический,NOUN NOUN NOUN,3,0,,,,,
"Калашников, Иван Тимофеевич",мужской,0,Дочь купца Жолобова,The Daughter of Merchant Zholobov,"Роман, извлеченный из иркутских преданий",1831,Северная пчела,1,Санкт-Петербург,"авантюрный, социально-психологический",купцы,3 лицо,авантюрный,приключенческий,NOUN NOUN NOUN,3,0,,,,,
"Загоскин, Михаил Васильевич",мужской,0,"Рославлев, или Русские в 1812 году","Roslavlev, or Russians in 1812",,1831,Отд. изд.,1,Москва,"исторический, любовный",военные,3 лицо,исторический,исторический,NOUN CONJ ADJF PREP NUMR NOUN,6,0,исторический,любовный,военный,,
"Вельтман, Александр Фомич",мужской,0,Странник,The Wanderer,,1831,Отд. изд.,1,Москва,авантюрный,офицер,1 лицо,авантюрный,приключенческий,NOUN,1,0,философский,приключенческий,авантюрный,,
"Греч, Николай Иванович",мужской,0,Поездка в Германию,A Journey to Germany,Роман в письмах,1831,Отд. изд.,1,Санкт-Петербург,социально-психологический,дворяне,1 лицо,социально-психологический,социально-психологический,NOUN PREP NOUN,3,0,,,,,
"Миклашевич, Варвара Семеновна",женский,0,"Село Михайловское, или Помещик XVIII столетия","The Village of Mikhailovskoye, or A Landowner of the Eighteenth Century",роман в 4 частях,1831,Сын отечества,0,,исторический; роман тайн,"помещики, администрация, духовенство",3 лицо,исторический,исторический,VERB ADJF CONJ NOUN NUMR NOUN,6,0,,,,,
"Яковлев, Павел Лукьянович",мужской,0,Удивительный человек!,An Amazing Man!,,1831,Отд. изд.,1,Москва,исторический,,,исторический,исторический,ADJF NOUN,2,0,,,,,
